 "GET /scratchy-bot-web/ HTTP/2.0" 500 186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
162.158.22.166 - - [31/May/2026:03:06:25 +0200] "GET /api/superadmin/overview HTTP/2.0" 200 500 "https://souqrates.com/superadmin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
162.159.122.187 - - [31/May/2026:03:33:50 +0200] "GET /scratchy-bot-web/ HTTP/2.0" 500 186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
162.159.122.187 - - [31/May/2026:03:34:01 +0200] "GET /scratchy-bot-web/ HTTP/2.0" 500 186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
162.158.22.166 - - [31/May/2026:03:39:13 +0200] "GET /scratchy-bot-web/ HTTP/2.0" 500 186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
78.153.140.147 - - [31/May/2026:03:30:21 +0200] "POST / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
162.159.122.186 - - [31/May/2026:03:31:09 +0200] "GET /games-bot/ HTTP/2.0" 200 1695 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:09 +0200] "GET /games-bot/manifest.webmanifest HTTP/2.0" 200 649 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:09 +0200] "GET /api/games/ledger?limit=4&offset=0 HTTP/2.0" 401 47 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:09 +0200] "GET /api/games/leaderboard HTTP/2.0" 401 47 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:09 +0200] "GET /api/games/gamification HTTP/2.0" 401 47 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:10 +0200] "GET /api/games/balance HTTP/2.0" 401 47 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:10 +0200] "GET /api/games/tiers HTTP/2.0" 304 0 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
162.159.122.186 - - [31/May/2026:03:31:11 +0200] "GET /api/games/configs HTTP/2.0" 304 0 "https://souqrates.com/games-bot/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"
45.205.1.243 - - [31/May/2026:03:33:02 +0200] "GET / HTTP/1.1" 400 166 "-" "curl/7.68.0"
172.71.98.36 - - [31/May/2026:03:33:44 +0200] "POST /telegram-webhook/mother-bot HTTP/2.0" 200 2 "-" "-"
